mueble,name,abbr,material,color,ancho(cm),largo(cm),are(cm),veta,canto,canto_len(cm),posicion,cantidad,x(cm),y(cm),z(cm)
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLO_cajonA_X10.002,ARGR_O_VL_CA38,AGLOMERADO,OSCURO,10.0,40.0,400.0,NO_TIENE,LARGO/OSCURO:40.0;LARGO/OSCURO:40.0;,80.0,VERICAL_LATERAL,1,1.48,40.0,10.0
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLO_cajonA_X10.002,ARGR_O_VL_CA38,AGLOMERADO,OSCURO,10.0,40.0,400.0,NO_TIENE,LARGO/OSCURO:40.0;LARGO/OSCURO:40.0;,80.0,VERICAL_LATERAL,1,1.48,40.0,10.0
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLO_cajonA_X10.002,ARGR_O_VL_CA38,AGLOMERADO,OSCURO,10.0,40.0,400.0,NO_TIENE,LARGO/OSCURO:40.0;LARGO/OSCURO:40.0;,80.0,VERICAL_LATERAL,1,1.48,40.0,10.0
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLO_cajonA_X10.002,ARGR_O_VL_CA38,AGLOMERADO,OSCURO,10.0,40.0,400.0,NO_TIENE,LARGO/OSCURO:40.0;LARGO/OSCURO:40.0;,80.0,VERICAL_LATERAL,1,1.48,40.0,10.0
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLO_cajonA_X10.002,ARGR_O_VL_CA38,AGLOMERADO,OSCURO,10.0,40.0,400.0,NO_TIENE,LARGO/OSCURO:40.0;LARGO/OSCURO:40.0;,80.0,VERICAL_LATERAL,1,1.48,40.0,10.0
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLO_cajonA_X10.002,ARGR_O_VL_CA38,AGLOMERADO,OSCURO,10.0,40.0,400.0,NO_TIENE,LARGO/OSCURO:40.0;LARGO/OSCURO:40.0;,80.0,VERICAL_LATERAL,1,1.48,40.0,10.0
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLO_cajonA_X10.002,ARGR_O_VL_CA38,AGLOMERADO,OSCURO,10.0,40.0,400.0,NO_TIENE,LARGO/OSCURO:40.0;LARGO/OSCURO:40.0;,80.0,VERICAL_LATERAL,1,1.48,40.0,10.0
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLO_cajonA_X10.002,ARGR_O_VL_CA38,AGLOMERADO,OSCURO,10.0,40.0,400.0,NO_TIENE,LARGO/OSCURO:40.0;LARGO/OSCURO:40.0;,80.0,VERICAL_LATERAL,1,1.48,40.0,10.0
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntANANLOLO_cajonA_X10.002,ARGR_O_VL_CA38,AGLOMERADO,OSCURO,10.0,40.0,400.0,NO_TIENE,LARGO/OSCURO:40.0;LARGO/OSCURO:40.0;,80.0,VERICAL_LATERAL,1,1.48,40.0,10.0
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntAOANLCLN_baseA.001,ARGR_O_VL_BA39,AGLOMERADO,OSCURO,48.5,200.0,9700.0,NO_TIENE,ANCHO/OSCURO:48.5;LARGO/CLARO:200.0;,248.5,VERICAL_LATERAL,1,1.5,48.5,200.0
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntAOANLNLN_paneD.001,ARGR_O_VL_PA40,AGLOMERADO,OSCURO,15.0,45.0,675.0,NO_TIENE,ANCHO/OSCURO:15.0;,15.0,VERICAL_LATERAL,1,1.5,45.0,15.0
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntAOANLNLN_paneE.001,ARGR_O_VL_PA41,AGLOMERADO,OSCURO,13.5,45.0,607.5,NO_TIENE,ANCHO/OSCURO:13.5;,13.5,VERICAL_LATERAL,1,1.5,45.0,13.5
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntAOANLNLN_paneE.002,ARGR_O_VL_PA42,AGLOMERADO,OSCURO,13.5,45.0,607.5,NO_TIENE,ANCHO/OSCURO:13.5;,13.5,VERICAL_LATERAL,1,1.5,45.0,13.5
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntAOANLNLN_paneE.003,ARGR_O_VL_PA43,AGLOMERADO,OSCURO,13.5,45.0,607.5,NO_TIENE,ANCHO/OSCURO:13.5;,13.5,VERICAL_LATERAL,1,1.5,45.0,13.5
ARMARIO_GRANDE,armbg_aglo_verticalat_osc_vetaN_cntAOANLNLN_paneE.004,ARGR_O_VL_PA44,AGLOMERADO,OSCURO,13.5,45.0,607.5,NO_TIENE,ANCHO/OSCURO:13.5;,13.5,VERICAL_LATERAL,1,1.5,45.0,13.5
ARMARIO_GRANDE,armbg_aglo_verticalback_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VP_CA45,AGLOMERADO,OSCURO,10.0,51.7,517.0,NO_TIENE,ANCHO/OSCURO:10.0;ANCHO/OSCURO:10.0;LARGO/OSCURO:51.7;LARGO/OSCURO:51.7;,123.4,VERICAL_POSTERIOR,1,51.7,1.5,10.0
ARMARIO_GRANDE,armbg_aglo_verticalback_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VP_CA45,AGLOMERADO,OSCURO,10.0,51.7,517.0,NO_TIENE,ANCHO/OSCURO:10.0;ANCHO/OSCURO:10.0;LARGO/OSCURO:51.7;LARGO/OSCURO:51.7;,123.4,VERICAL_POSTERIOR,1,51.7,1.5,10.0
ARMARIO_GRANDE,armbg_aglo_verticalback_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VP_CA45,AGLOMERADO,OSCURO,10.0,51.7,517.0,NO_TIENE,ANCHO/OSCURO:10.0;ANCHO/OSCURO:10.0;LARGO/OSCURO:51.7;LARGO/OSCURO:51.7;,123.4,VERICAL_POSTERIOR,1,51.7,1.5,10.0
ARMARIO_GRANDE,armbg_aglo_verticalback_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VP_CA45,AGLOMERADO,OSCURO,10.0,51.7,517.0,NO_TIENE,ANCHO/OSCURO:10.0;ANCHO/OSCURO:10.0;LARGO/OSCURO:51.7;LARGO/OSCURO:51.7;,123.4,VERICAL_POSTERIOR,1,51.7,1.5,10.0
ARMARIO_GRANDE,armbg_aglo_verticalback_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VP_CA45,AGLOMERADO,OSCURO,10.0,51.7,517.0,NO_TIENE,ANCHO/OSCURO:10.0;ANCHO/OSCURO:10.0;LARGO/OSCURO:51.7;LARGO/OSCURO:51.7;,123.4,VERICAL_POSTERIOR,1,51.7,1.5,10.0
ARMARIO_GRANDE,armbg_aglo_verticalback_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VP_CA45,AGLOMERADO,OSCURO,10.0,51.7,517.0,NO_TIENE,ANCHO/OSCURO:10.0;ANCHO/OSCURO:10.0;LARGO/OSCURO:51.7;LARGO/OSCURO:51.7;,123.4,VERICAL_POSTERIOR,1,51.7,1.5,10.0
ARMARIO_GRANDE,armbg_aglo_verticalback_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VP_CA45,AGLOMERADO,OSCURO,10.0,51.7,517.0,NO_TIENE,ANCHO/OSCURO:10.0;ANCHO/OSCURO:10.0;LARGO/OSCURO:51.7;LARGO/OSCURO:51.7;,123.4,VERICAL_POSTERIOR,1,51.7,1.5,10.0
ARMARIO_GRANDE,armbg_aglo_verticalback_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VP_CA45,AGLOMERADO,OSCURO,10.0,51.7,517.0,NO_TIENE,ANCHO/OSCURO:10.0;ANCHO/OSCURO:10.0;LARGO/OSCURO:51.7;LARGO/OSCURO:51.7;,123.4,VERICAL_POSTERIOR,1,51.7,1.5,10.0
ARMARIO_GRANDE,armbg_aglo_verticalback_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VP_CA45,AGLOMERADO,OSCURO,10.0,51.7,517.0,NO_TIENE,ANCHO/OSCURO:10.0;ANCHO/OSCURO:10.0;LARGO/OSCURO:51.7;LARGO/OSCURO:51.7;,123.4,VERICAL_POSTERIOR,1,51.7,1.5,10.0
ARMARIO_GRANDE,armbg_aglo_verticalback_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VP_CA45,AGLOMERADO,OSCURO,10.0,51.7,517.0,NO_TIENE,ANCHO/OSCURO:10.0;ANCHO/OSCURO:10.0;LARGO/OSCURO:51.7;LARGO/OSCURO:51.7;,123.4,VERICAL_POSTERIOR,1,51.7,1.5,10.0
ARMARIO_GRANDE,armbg_aglo_verticalfront_cla_vetaA_cntACACLCLC_puertaB.001,ARGR_C_VF_PU46,AGLOMERADO,CLARO,130.0,14.5,1885.0,ANCHO,ANCHO/CLARO:130.0;ANCHO/CLARO:130.0;LARGO/CLARO:14.5;LARGO/CLARO:14.5;,289.0,VERICAL_FRONTAL,1,130.0,1.5,14.5
ARMARIO_GRANDE,armbg_aglo_verticalfront_cla_vetaA_cntACACLCLC_puertaB.002,ARGR_C_VF_PU47,AGLOMERADO,CLARO,130.0,14.5,1885.0,ANCHO,ANCHO/CLARO:130.0;ANCHO/CLARO:130.0;LARGO/CLARO:14.5;LARGO/CLARO:14.5;,289.0,VERICAL_FRONTAL,1,130.0,1.5,14.5
ARMARIO_GRANDE,armbg_aglo_verticalfront_cla_vetaL_cntACACLCLC_puertaA.001,ARGR_C_VF_PU48,AGLOMERADO,CLARO,65.5,198.0,12969.0,LARGO,ANCHO/CLARO:65.5;ANCHO/CLARO:65.5;LARGO/CLARO:198.0;LARGO/CLARO:198.0;,527.0,VERICAL_FRONTAL,1,65.5,1.5,198.0
ARMARIO_GRANDE,armbg_aglo_verticalfront_cla_vetaL_cntACACLCLC_puertaA.002,ARGR_C_VF_PU49,AGLOMERADO,CLARO,65.5,198.0,12969.0,LARGO,ANCHO/CLARO:65.5;ANCHO/CLARO:65.5;LARGO/CLARO:198.0;LARGO/CLARO:198.0;,527.0,VERICAL_FRONTAL,1,65.5,1.5,198.0
ARMARIO_GRANDE,armbg_aglo_verticalfront_cla_vetaL_cntACACLCLC_puertaA.003,ARGR_C_VF_PU50,AGLOMERADO,CLARO,65.5,198.0,12969.0,LARGO,ANCHO/CLARO:65.5;ANCHO/CLARO:65.5;LARGO/CLARO:198.0;LARGO/CLARO:198.0;,527.0,VERICAL_FRONTAL,1,65.5,1.5,198.0
ARMARIO_GRANDE,armbg_aglo_verticalfront_cla_vetaL_cntACACLCLC_puertaA.004,ARGR_C_VF_PU51,AGLOMERADO,CLARO,65.5,198.0,12969.0,LARGO,ANCHO/CLARO:65.5;ANCHO/CLARO:65.5;LARGO/CLARO:198.0;LARGO/CLARO:198.0;,527.0,VERICAL_FRONTAL,1,65.5,1.5,198.0
ARMARIO_GRANDE,armbg_aglo_verticalfront_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VF_CA52,AGLOMERADO,OSCURO,15.0,53.18,797.7,NO_TIENE,ANCHO/OSCURO:15.0;ANCHO/OSCURO:15.0;LARGO/OSCURO:53.18;LARGO/OSCURO:53.18;,136.36,VERICAL_FRONTAL,1,53.18,1.5,15.0
ARMARIO_GRANDE,armbg_aglo_verticalfront_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VF_CA52,AGLOMERADO,OSCURO,15.0,53.18,797.7,NO_TIENE,ANCHO/OSCURO:15.0;ANCHO/OSCURO:15.0;LARGO/OSCURO:53.18;LARGO/OSCURO:53.18;,136.36,VERICAL_FRONTAL,1,53.18,1.5,15.0
ARMARIO_GRANDE,armbg_aglo_verticalfront_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VF_CA52,AGLOMERADO,OSCURO,15.0,53.18,797.7,NO_TIENE,ANCHO/OSCURO:15.0;ANCHO/OSCURO:15.0;LARGO/OSCURO:53.18;LARGO/OSCURO:53.18;,136.36,VERICAL_FRONTAL,1,53.18,1.5,15.0
ARMARIO_GRANDE,armbg_aglo_verticalfront_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VF_CA52,AGLOMERADO,OSCURO,15.0,53.18,797.7,NO_TIENE,ANCHO/OSCURO:15.0;ANCHO/OSCURO:15.0;LARGO/OSCURO:53.18;LARGO/OSCURO:53.18;,136.36,VERICAL_FRONTAL,1,53.18,1.5,15.0
ARMARIO_GRANDE,armbg_aglo_verticalfront_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VF_CA52,AGLOMERADO,OSCURO,15.0,53.18,797.7,NO_TIENE,ANCHO/OSCURO:15.0;ANCHO/OSCURO:15.0;LARGO/OSCURO:53.18;LARGO/OSCURO:53.18;,136.36,VERICAL_FRONTAL,1,53.18,1.5,15.0
ARMARIO_GRANDE,armbg_aglo_verticalfront_osc_vetaN_cntAOAOLOLO_cajonA_X10.001,ARGR_O_VF_CA52,AGLOMERADO,OSCURO,15.0,53.18,797.7,NO_TIENE,ANCHO/OSCURO:15.0;ANCHO/OSCURO:15.0;LARGO/OSCURO:53.18;LARGO/OSCURO:53.18;,136.36,VERICAL_FRONTAL,1,53.18,1.5,15.0
