mueble,name,abbr,material,color,ancho(mm),largo(mm),are(mm),veta,canto,canto_len(mm),posicion,cantidad,x(mm),y(mm),z(mm)
COCINA_SUPERIOR,messup_aglo_horizontal_oscuro_vetaN_cantoANANLCLN_baseB.001,COSU_O_H_BA43,AGLOMERADO,OSCURO,515.0,755.0,388825.0,NO_TIENE,LARGO/CLARO:755.0;,755.0,HORIZONTAL,1,755.0,515.0,15.0
COCINA_SUPERIOR,messup_aglo_horizontal_oscuro_vetaN_cantoANANLCLN_baseA.001,COSU_O_H_BA44,AGLOMERADO,OSCURO,400.0,1970.0,788000.0,NO_TIENE,LARGO/CLARO:1970.0;,1970.0,HORIZONTAL,1,1970.0,400.0,15.0
COCINA_SUPERIOR,messup_aglo_verticalfront_claro_vetaL_cantoACACLCLC_puertaC.001,COSU_C_VF_PU45,AGLOMERADO,CLARO,140.0,830.0,116200.0,LARGO,ANCHO/CLARO:140.0;ANCHO/CLARO:140.0;LARGO/CLARO:830.0;LARGO/CLARO:830.0;,1940.0,VERICAL_FRONTAL,1,830.0,15.0,140.0
COCINA_SUPERIOR,messup_aglo_verticalat_oscuro_vetaN_cantoANANLCLN_paneA.002,COSU_O_VL_PA46,AGLOMERADO,OSCURO,400.0,500.0,200000.0,NO_TIENE,LARGO/CLARO:500.0;,500.0,VERICAL_LATERAL,1,15.0,400.0,500.0
COCINA_SUPERIOR,messup_aglo_verticalat_oscuro_vetaN_cantoAOAOLCLN_baseA.002,COSU_O_VL_BA47,AGLOMERADO,OSCURO,400.0,530.0,212000.0,NO_TIENE,ANCHO/OSCURO:400.0;ANCHO/OSCURO:400.0;LARGO/CLARO:530.0;,1330.0,VERICAL_LATERAL,1,15.0,400.0,530.0
COCINA_SUPERIOR,messup_aglo_verticalat_oscuro_vetaN_cantoANACLOLO_baseB.002,COSU_O_VL_BA48,AGLOMERADO,OSCURO,345.0,515.0,177675.0,NO_TIENE,ANCHO/CLARO:345.0;LARGO/OSCURO:515.0;LARGO/OSCURO:515.0;,1375.0,VERICAL_LATERAL,1,15.0,515.0,345.0
COCINA_ISLA,mesisl_aglo_horizontal_claro_vetaL_cantoACACLCLC_baseA.001,COIS_C_H_BA49,AGLOMERADO,CLARO,580.0,1205.0,698900.0,LARGO,ANCHO/CLARO:580.0;ANCHO/CLARO:580.0;LARGO/CLARO:1205.0;LARGO/CLARO:1205.0;,3570.0,HORIZONTAL,1,1205.0,580.0,15.0
COCINA_ISLA,mesisl_aglo_verticalfront_claro_vetaL_cantoACACLCLC_puertaA.001,COIS_C_VF_PU50,AGLOMERADO,CLARO,365.0,485.0,177025.0,LARGO,ANCHO/CLARO:365.0;ANCHO/CLARO:365.0;LARGO/CLARO:485.0;LARGO/CLARO:485.0;,1700.0,VERICAL_FRONTAL,1,365.0,15.0,485.0
COCINA_ISLA,mesisl_aglo_verticalback_claro_vetaA_cantoANANLNLN_baseA.001,COIS_C_VP_BA51,AGLOMERADO,CLARO,1175.0,765.0,898875.0,ANCHO,,0,VERICAL_POSTERIOR,1,1175.0,15.0,765.0
COCINA_ISLA,mesisl_aglo_verticalat_claro_vetaL_cantoANANLCLC_baseA.001,COIS_C_VL_BA52,AGLOMERADO,CLARO,580.0,765.0,443700.0,LARGO,LARGO/CLARO:765.0;LARGO/CLARO:765.0;,1530.0,VERICAL_LATERAL,1,15.0,580.0,765.0
COCINA_ISLA,mesisl_aglo_verticalat_claro_vetaL_cantoANANLCLC_baseA.002,COIS_C_VL_BA53,AGLOMERADO,CLARO,580.0,765.0,443700.0,LARGO,LARGO/CLARO:765.0;LARGO/CLARO:765.0;,1530.0,VERICAL_LATERAL,1,15.0,580.0,765.0
COCINA_ISLA,mesisl_aglo_verticalat_claro_vetaL_cantoANANLCLN_panelA.002,COIS_C_VL_PA54,AGLOMERADO,CLARO,565.0,765.0,432225.0,LARGO,LARGO/CLARO:765.0;,765.0,VERICAL_LATERAL,1,15.0,565.0,765.0
COCINA_ISLA,mesisl_aglo_verticalfront_claro_vetaA_cantoACACLNLN_baseA.001,COIS_C_VF_BA55,AGLOMERADO,CLARO,1180.0,100.0,118000.0,ANCHO,ANCHO/CLARO:1180.0;ANCHO/CLARO:1180.0;,2360.0,VERICAL_FRONTAL,1,1180.0,15.0,100.0
COCINA_ISLA,mesisl_aglo_verticalfront_oscuro_vetaN_cantoANANLOLO_cajonA.001,COIS_O_VF_CA56,AGLOMERADO,OSCURO,143.0,666.0,95238.0,NO_TIENE,LARGO/OSCURO:666.0;LARGO/OSCURO:666.0;,1332.0,VERICAL_FRONTAL,1,666.0,15.0,143.0
COCINA_ISLA,mesisl_aglo_verticalfront_claro_vetaA_cantoACACLCLC_cajonA.001,COIS_C_VF_CA57,AGLOMERADO,CLARO,735.0,200.0,147000.0,ANCHO,ANCHO/CLARO:735.0;ANCHO/CLARO:735.0;LARGO/CLARO:200.0;LARGO/CLARO:200.0;,1870.0,VERICAL_FRONTAL,1,735.0,15.0,200.0
COCINA_ISLA,mesisl_aglo_verticalback_oscuro_vetaN_cantoANANLOLO_cajonA.001,COIS_O_VP_CA58,AGLOMERADO,OSCURO,143.0,666.0,95238.0,NO_TIENE,LARGO/OSCURO:666.0;LARGO/OSCURO:666.0;,1332.0,VERICAL_POSTERIOR,1,666.0,15.0,143.0
COCINA_ISLA,mesisl_aglo_verticalfront_claro_vetaL_cantoACACLCLC_puertaA.002,COIS_C_VF_PU59,AGLOMERADO,CLARO,365.0,485.0,177025.0,LARGO,ANCHO/CLARO:365.0;ANCHO/CLARO:365.0;LARGO/CLARO:485.0;LARGO/CLARO:485.0;,1700.0,VERICAL_FRONTAL,1,365.0,15.0,485.0
COCINA_ISLA,mesisl_aglo_verticalat_oscuro_vetaN_cantoAOAOLOLO_cajonA.002,COIS_O_VL_CA60,AGLOMERADO,OSCURO,143.0,520.0,74360.0,NO_TIENE,ANCHO/OSCURO:143.0;ANCHO/OSCURO:143.0;LARGO/OSCURO:520.0;LARGO/OSCURO:520.0;,1326.0,VERICAL_LATERAL,1,15.0,520.0,143.0
COCINA_ISLA,mesisl_aglo_verticalfront_claro_vetaL_cantoACACLCLC_puertaB.001,COIS_C_VF_PU61,AGLOMERADO,CLARO,150.0,700.0,105000.0,LARGO,ANCHO/CLARO:150.0;ANCHO/CLARO:150.0;LARGO/CLARO:700.0;LARGO/CLARO:700.0;,1700.0,VERICAL_FRONTAL,1,150.0,15.0,700.0
COCINA_ISLA,mesisl_aglo_verticalat_claro_vetaL_cantoANANLCLN_panelA.001,COIS_C_VL_PA62,AGLOMERADO,CLARO,565.0,765.0,432225.0,LARGO,LARGO/CLARO:765.0;,765.0,VERICAL_LATERAL,1,15.0,565.0,765.0
COCINA_ISLA,mesisl_aglo_horizontal_claro_vetaL_cantoAOANLNLN_panelB.002,COIS_C_H_PA63,AGLOMERADO,CLARO,281.0,535.0,150335.0,LARGO,ANCHO/OSCURO:281.0;,281.0,HORIZONTAL,1,281.0,535.0,15.0
COCINA_ISLA,mesisl_aglo_horizontal_claro_vetaL_cantoAOANLNLN_panelB.001,COIS_C_H_PA64,AGLOMERADO,CLARO,281.0,535.0,150335.0,LARGO,ANCHO/OSCURO:281.0;,281.0,HORIZONTAL,1,281.0,535.0,15.0
COCINA_ISLA,mesisl_aglo_verticalfront_claro_vetaL_cantoACACLCLC_puertaC.001,COIS_C_VF_PU65,AGLOMERADO,CLARO,295.0,700.0,206500.0,LARGO,ANCHO/CLARO:295.0;ANCHO/CLARO:295.0;LARGO/CLARO:700.0;LARGO/CLARO:700.0;,1990.0,VERICAL_FRONTAL,1,295.0,15.0,700.0
COCINA_ISLA,mesisl_mdf_horizontal_oscuro_vetaN_cantoANANLNLN_cajonA.001,COIS_O_H_CA66,MDF,OSCURO,496.0,675.0,334800.0,NO_TIENE,,0,HORIZONTAL,1,675.0,496.0,6.0
COCINA_ISLA,mesisl_aglo_horizontal_claro_vetaL_cantoANANLOLN_panelA.001,COIS_C_H_PA67,AGLOMERADO,CLARO,535.0,724.0,387340.0,LARGO,LARGO/OSCURO:724.0;,724.0,HORIZONTAL,1,724.0,535.0,15.0
COCINA_ISLA,mesisl_aglo_horizontal_claro_vetaL_cantoANANLCLN_panelA.002,COIS_C_H_PA68,AGLOMERADO,CLARO,535.0,724.0,387340.0,LARGO,LARGO/CLARO:724.0;,724.0,HORIZONTAL,1,724.0,535.0,15.0
COCINA_ISLA,mesisl_aglo_verticalat_oscuro_vetaN_cantoAOAOLOLO_cajonA.001,COIS_O_VL_CA69,AGLOMERADO,OSCURO,143.0,520.0,74360.0,NO_TIENE,ANCHO/OSCURO:143.0;ANCHO/OSCURO:143.0;LARGO/OSCURO:520.0;LARGO/OSCURO:520.0;,1326.0,VERICAL_LATERAL,1,15.0,520.0,143.0
